trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
399,07:15:00,07:15:00,88,1,,0,0,1
399,07:57:00,07:57:00,118,2,,0,0,1
399,08:15:00,08:15:00,87,3,,0,0,1
399,08:29:00,08:29:00,114,4,,0,0,1
399,08:38:00,08:38:00,17,5,,0,0,1
399,08:56:00,08:56:00,113,6,,0,0,1
399,09:15:00,09:15:00,112,7,,0,0,1
399,09:18:00,09:18:00,141,8,,0,0,1
412,05:03:00,05:03:00,141,1,,0,0,1
412,05:11:00,05:11:00,112,2,,0,0,1
412,05:30:00,05:30:00,113,3,,0,0,1
412,05:44:00,05:44:00,17,4,,0,0,1
412,05:51:00,05:51:00,114,5,,0,0,1
412,06:10:00,06:10:00,87,6,,0,0,1
412,06:26:00,06:26:00,118,7,,0,0,1
412,07:05:00,07:05:00,88,8,,0,0,1
601,07:18:00,07:18:00,17,1,,0,0,1
601,07:30:00,07:30:00,115,2,,0,0,1
601,07:39:00,07:39:00,87,3,,0,0,1
601,07:46:00,07:46:00,11,4,,0,0,1
601,07:54:00,07:54:00,24,5,,0,0,1
601,07:58:00,07:58:00,111,6,,0,0,1
603,08:48:00,08:48:00,17,1,,0,0,1
603,09:00:00,09:00:00,115,2,,0,0,1
603,09:09:00,09:09:00,87,3,,0,0,1
603,09:16:00,09:16:00,11,4,,0,0,1
603,09:24:00,09:24:00,24,5,,0,0,1
603,09:28:00,09:28:00,111,6,,0,0,1
622,06:40:00,06:40:00,24,1,,0,0,1
622,06:48:00,06:48:00,11,2,,0,0,1
622,06:56:00,06:56:00,87,3,,0,0,1
622,07:03:00,07:03:00,115,4,,0,0,1
622,07:12:00,07:12:00,17,5,,0,0,1
624,08:03:00,08:03:00,111,1,,0,0,1
624,08:10:00,08:10:00,24,2,,0,0,1
624,08:18:00,08:18:00,11,3,,0,0,1
624,08:26:00,08:26:00,87,4,,0,0,1
624,08:33:00,08:33:00,115,5,,0,0,1
624,08:42:00,08:42:00,17,6,,0,0,1
626,09:33:00,09:33:00,111,1,,0,0,1
626,09:40:00,09:40:00,24,2,,0,0,1
626,09:48:00,09:48:00,11,3,,0,0,1
626,09:56:00,09:56:00,87,4,,0,0,1
626,10:03:00,10:03:00,115,5,,0,0,1
626,10:12:00,10:12:00,17,6,,0,0,1
706,04:34:00,04:34:00,62,1,,0,0,1
706,04:36:00,04:36:00,61,2,,0,0,1
706,04:40:00,04:40:00,37,3,,0,0,1
706,04:43:00,04:43:00,103,4,,0,0,1
706,04:49:00,04:49:00,105,5,,0,0,1
706,04:52:00,04:52:00,39,6,,0,0,1
706,04:56:00,04:56:00,104,7,,0,0,1
706,04:58:00,04:58:00,142,8,,0,0,1
706,05:04:00,05:04:00,16,9,,0,0,1
719,05:06:00,05:06:00,16,1,,0,1,1
719,05:12:00,05:12:00,149,2,,1,0,1
719,05:16:00,05:16:00,43,3,,1,0,1
719,05:19:00,05:19:00,150,4,,1,0,1
719,05:25:00,05:25:00,151,5,,1,0,1
719,05:28:00,05:28:00,45,6,,1,0,1
719,05:32:00,05:32:00,46,7,,1,0,1
719,05:34:00,05:34:00,62,8,,0,0,1
733,04:49:00,04:49:00,48,1,,0,0,1
733,04:51:00,04:51:00,49,2,,0,0,1
733,04:52:00,04:52:00,50,3,,0,0,1
733,04:54:00,04:54:00,51,4,,0,0,1
733,04:56:00,04:56:00,52,5,,0,0,1
733,04:58:00,04:58:00,145,6,,0,0,1
733,05:04:00,05:04:00,16,7,,0,0,1
749,05:06:00,05:06:00,16,1,,0,0,1
749,05:12:00,05:12:00,55,2,,1,0,1
749,05:14:00,05:14:00,56,3,,1,0,1
749,05:16:00,05:16:00,57,4,,1,0,1
749,05:18:00,05:18:00,58,5,,1,0,1
749,05:19:00,05:19:00,49,6,,1,0,1
749,05:21:00,05:21:00,48,7,,0,0,1
1318,08:42:00,08:42:00,141,1,,0,0,1
1318,08:50:00,08:50:00,112,2,,0,0,1
1318,09:09:00,09:09:00,113,3,,0,0,1
1318,09:23:00,09:23:00,17,4,,0,0,1
1318,09:30:00,09:30:00,114,5,,0,0,1
1318,09:49:00,09:49:00,87,6,,0,0,1
1318,10:05:00,10:05:00,118,7,,0,0,1
1318,10:44:00,10:44:00,88,8,,0,0,1
1332,09:18:00,09:18:00,87,1,,0,0,1
1332,09:32:00,09:32:00,114,2,,0,0,1
1332,09:41:00,09:41:00,17,3,,0,0,1
1332,09:53:00,09:53:00,113,4,,0,0,1
1332,10:12:00,10:12:00,112,5,,0,0,1
1332,10:15:00,10:15:00,141,6,,0,0,1
1576,08:56:00,08:56:00,87,1,,0,0,1
1576,09:09:00,09:09:00,120,2,,0,0,1
1576,09:26:00,09:26:00,17,3,,0,0,1
1576,09:33:00,09:33:00,90,4,,0,0,1
1576,09:40:00,09:40:00,25,5,,0,0,1
1576,09:49:00,09:49:00,89,6,,0,0,1
1576,09:52:00,09:52:00,113,7,,0,0,1
1577,09:59:00,09:59:00,87,1,,0,0,1
1577,10:12:00,10:12:00,120,2,,0,0,1
1577,10:29:00,10:29:00,17,3,,0,0,1
1577,10:36:00,10:36:00,90,4,,0,0,1
1577,10:43:00,10:43:00,25,5,,0,0,1
1577,10:52:00,10:52:00,89,6,,0,0,1
1577,10:55:00,10:55:00,113,7,,0,0,1
1578,10:59:00,10:59:00,87,1,,0,0,1
1578,11:12:00,11:12:00,120,2,,0,0,1
1578,11:29:00,11:29:00,17,3,,0,0,1
1578,11:36:00,11:36:00,90,4,,0,0,1
1578,11:43:00,11:43:00,25,5,,0,0,1
1578,11:52:00,11:52:00,89,6,,0,0,1
